"Name","Latitude","Longitude","Diameter (km)"
"Compton","55.86","104.05","164.15268"
"Heaviside","-10.44","166.77","164.15268"
"Struve","23.41","283.35","164.15268"
"Rowland","56.98","197.52","165.76202"
"Gauss","36.01","79.08","170.59004"
"WBond","65.41","3.52","170.59004"
"Joliot","25.79","93.39","172.19938"
"Vertregt","-19.3","171.12","172.19938"
"Grimaldi","-5.38","291.64","173.80872"
"Hilbert","-17.87","108.32","173.80872"
"Mach","18.13","210.76","175.41806"
"Chebyshev","-34.01","227.12","178.63674"
"Fabry","43.07","100.68","178.63674"
"Schiller","-51.72","320.22","178.63674"
"Einstein","16.6","271.35","181.85542"
"Mandelshtam","5.7","162.39","181.85542"
"Rozhdestvenskiy","84.99","202.11","181.85542"
"Petavius","-25.39","60.78","183.46476"
"Tsiolkovskiy","-20.38","128.97","185.0741"
"VonKarman","-44.45","176.25","186.68344"
"Zeeman","-75.07","224.94","186.68344"
"Humboldt","-27.02","80.96","199.55816"
